Index,Model,ROUGE-1,ROUGE-L,BERTScore,Summary,Transcript
11,TF-IDF,0.729166667,0.534722222,0.953467369,"Members concurred that, in determining the extent of future increases in the target range, they would take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. Given recent developments, members anticipated that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. In addition, members agreed that they would continue reducing the Federal Reserve's holdings of Treasury securities and agency debt and agency MBS, as described in its previously announced plans.","Members agreed that the Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, members agreed to raise the target range for the federal funds rate to 4-3/4 to 5 percent. Members agreed that they would closely monitor incoming information and assess the implications for monetary policy. Given recent developments, members anticipated that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. Members concurred that, in determining the extent of future increases in the target range, they would take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, members agreed that they would continue reducing the Federal Reserve's holdings of Treasury securities and agency debt and agency MBS, as described in its previously announced plans. All members affirmed that they remained strongly committed to returning inflation to its 2 percent objective."
11,BERT,0.366071429,0.366071429,0.910040855, Members agreed that the Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run . Members agreed to raise the target range for the federal funds rate to 4-3/4 to 5 percent .,"Members agreed that the Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, members agreed to raise the target range for the federal funds rate to 4-3/4 to 5 percent. Members agreed that they would closely monitor incoming information and assess the implications for monetary policy. Given recent developments, members anticipated that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. Members concurred that, in determining the extent of future increases in the target range, they would take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, members agreed that they would continue reducing the Federal Reserve's holdings of Treasury securities and agency debt and agency MBS, as described in its previously announced plans. All members affirmed that they remained strongly committed to returning inflation to its 2 percent objective."
11,BART,0.506122449,0.506122449,0.932914495,"Members agreed that the Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, members agreed to raise the target range for the federal funds rate to 4-3/4 to 5 percent. All members affirmed that they remained strongly committed to returning inflation to its 2 percent objective.","Members agreed that the Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, members agreed to raise the target range for the federal funds rate to 4-3/4 to 5 percent. Members agreed that they would closely monitor incoming information and assess the implications for monetary policy. Given recent developments, members anticipated that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. Members concurred that, in determining the extent of future increases in the target range, they would take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, members agreed that they would continue reducing the Federal Reserve's holdings of Treasury securities and agency debt and agency MBS, as described in its previously announced plans. All members affirmed that they remained strongly committed to returning inflation to its 2 percent objective."
12,TF-IDF,1,0.469135802,0.981230199,"Members agreed that their assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. Members agreed that, in assessing the appropriate stance of monetary policy, they would continue to monitor the implications of incoming information for the economic outlook.","Members agreed that, in assessing the appropriate stance of monetary policy, they would continue to monitor the implications of incoming information for the economic outlook. They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. Members agreed that their assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."
12,BERT,0.578947368,0.578947368,0.92217505, Members agreed that they would continue to monitor the implications of incoming information for the economic outlook . They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge .,"Members agreed that, in assessing the appropriate stance of monetary policy, they would continue to monitor the implications of incoming information for the economic outlook. They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. Members agreed that their assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."
12,BART,0.897959184,0.884353741,0.977729619,"Members agreed that they would continue to monitor the implications of incoming information for the economic outlook. They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. Members agreed that their assessments will take into account a wide range of information, including readings on labor market conditions and inflation pressures.","Members agreed that, in assessing the appropriate stance of monetary policy, they would continue to monitor the implications of incoming information for the economic outlook. They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. Members agreed that their assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."
13,TF-IDF,1,1,1,"At the conclusion of the discussion, the Committee voted to direct the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account in accordance with the following domestic policy directive, for release at 2:00 p.m.:","At the conclusion of the discussion, the Committee voted to direct the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account in accordance with the following domestic policy directive, for release at 2:00 p.m.:"
13,BERT,0.888888889,0.888888889,0.965135396," The Committee voted to direct the Federal Reserve Bank of New York to execute transactions in the System Open Market Account in accordance with the following domestic policy directive, for release at 2:00 p.m.","At the conclusion of the discussion, the Committee voted to direct the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account in accordance with the following domestic policy directive, for release at 2:00 p.m.:"
13,BART,0.947368421,0.947368421,0.985623419,"At the conclusion of the discussion, the Committee voted to direct the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account in accordance with the following domestic policy directive, for release at 2:00 p.m. The vote was 4-0.","At the conclusion of the discussion, the Committee voted to direct the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account in accordance with the following domestic policy directive, for release at 2:00 p.m.:"
14,TF-IDF,1,1,1,"""Effective March 23, 2023, the Federal Open Market Committee directs the Desk to:","""Effective March 23, 2023, the Federal Open Market Committee directs the Desk to:"
14,BERT,0.530612245,0.367346939,0.913265288," The Federal Open Market Committee directs the Desk to: ""Effective March 23, 2023, the Desk will focus on the Desk . The Desk will look at the Desk of the Desk at the end of the year .","""Effective March 23, 2023, the Federal Open Market Committee directs the Desk to:"
14,BART,0.4,0.4,0.906769514,"""Effective March 23, 2023, the Federal Open Market Committee directs the Desk to:. The Desk will be responsible for managing the U.S. Federal Reserve's balance of payments operations. It will also manage the Federal Reserve Bank of New York's operations in New York City, New York and New Jersey.","""Effective March 23, 2023, the Federal Open Market Committee directs the Desk to:"
15,TF-IDF,1,1,1,The vote also encompassed approval of the statement below for release at 2:00 p.m.:,The vote also encompassed approval of the statement below for release at 2:00 p.m.:
15,BERT,0.711111111,0.711111111,0.955401063, The vote also encompassed approval of approval of the statement below for release at 2:00 p.m.: The vote was also included in approval of a statement below .,The vote also encompassed approval of the statement below for release at 2:00 p.m.:
15,BART,0.405063291,0.405063291,0.928369224,The vote also encompassed approval of the statement below for release at 2:00 p.m. The statement was released by the White House on Monday afternoon. It was released to coincide with the release of a statement by President Barack Obama on the State of the Union. The White House released a statement on the state of the nation on Monday evening.,The vote also encompassed approval of the statement below for release at 2:00 p.m.:
16,TF-IDF,1,0.705882353,0.96672368,"Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. ""Recent indicators point to modest growth in spending and production. Inflation remains elevated.","""Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated."
16,BERT,0.903225806,0.903225806,0.955103874, Recent indicators point to modest growth in spending and production . Job gains have picked up in recent months and are running at a robust pace . Inflation remains elevated .,"""Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated."
16,BART,0.739130435,0.673913043,0.946228921,"""Recent indicators point to modest growth in spending and production,"" the report says. ""Job gains have picked up in recent months and are running at a robust pace,"" it adds. Inflation remains elevated, however, and the report notes that the economy is still in a strong position. The U.S. unemployment rate has remained low, the report adds.","""Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated."
17,TF-IDF,0.894117647,0.729411765,0.973263443,"Recent developments are likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. The Committee remains highly attentive to inflation risks. The extent of these effects is uncertain.","The U.S. banking system is sound and resilient. Recent developments are likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. The extent of these effects is uncertain. The Committee remains highly attentive to inflation risks."
17,BERT,0.763157895,0.763157895,0.943954289, Recent developments are likely to result in tighter credit conditions for households and businesses . The extent of these effects is uncertain . The Committee remains highly attentive to inflation risks .,"The U.S. banking system is sound and resilient. Recent developments are likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. The extent of these effects is uncertain. The Committee remains highly attentive to inflation risks."
17,BART,0.930693069,0.930693069,0.992538095,"The U.S. banking system is sound and resilient. Recent developments are likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. The extent of these effects is uncertain. The Committee remains highly attentive to inflation risks. It will continue to monitor developments closely.","The U.S. banking system is sound and resilient. Recent developments are likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. The extent of these effects is uncertain. The Committee remains highly attentive to inflation risks."
18,TF-IDF,0.734082397,0.531835206,0.951193571,"In determining the extent of future increases in the target range, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. The Committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans.","The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 4-3/4 to 5 percent. The Committee will closely monitor incoming information and assess the implications for monetary policy. The Committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. In determining the extent of future increases in the target range, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective."
18,BERT,0.41314554,0.41314554,0.915670812," The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run . In support of these goals, the Committee decided to raise the target range for the federal funds rate to 4-3/4 to 5 percent .","The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 4-3/4 to 5 percent. The Committee will closely monitor incoming information and assess the implications for monetary policy. The Committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. In determining the extent of future increases in the target range, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective."
18,BART,0.504424779,0.504424779,0.93036443,"The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 4-3/4 to 5 percent. The Committee is strongly committed to returning inflation to its 2 percent objective.","The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. In support of these goals, the Committee decided to raise the target range for the federal funds rate to 4-3/4 to 5 percent. The Committee will closely monitor incoming information and assess the implications for monetary policy. The Committee anticipates that some additional policy firming may be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time. In determining the extent of future increases in the target range, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective."
19,TF-IDF,1,0.46835443,0.976597369,"The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."" The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook.","In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."""
19,BERT,0.694214876,0.694214876,0.935736716, The Committee will continue to monitor the implications of incoming information for the economic outlook . The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals .,"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."""
19,BART,0.79389313,0.79389313,0.968861938,"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.","In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."""
20,TF-IDF,1,1,1,"Voting for this action: Jerome H. Powell, John C. Williams, Michael S. Barr, Michelle W. Bowman, Lisa D. Cook, Austan D. Goolsbee, Patrick Harker, Philip N. Jefferson, Neel Kashkari, Lorie K. Logan, and Christopher J. Waller.","Voting for this action: Jerome H. Powell, John C. Williams, Michael S. Barr, Michelle W. Bowman, Lisa D. Cook, Austan D. Goolsbee, Patrick Harker, Philip N. Jefferson, Neel Kashkari, Lorie K. Logan, and Christopher J. Waller."
20,BERT,0.956521739,0.927536232,0.955354333," Jerome H. Powell, John C. Williams, Michael S. Barr, Michelle W. Bowman, Lisa D. Cook, Austan D. Goolsbee, Patrick Harker, Philip N. Jefferson, Neel Kashkari, Lorie K. Logan, and Christopher J. Waller vote .","Voting for this action: Jerome H. Powell, John C. Williams, Michael S. Barr, Michelle W. Bowman, Lisa D. Cook, Austan D. Goolsbee, Patrick Harker, Philip N. Jefferson, Neel Kashkari, Lorie K. Logan, and Christopher J. Waller."
20,BART,0.941176471,0.941176471,0.965294719,"Jerome H. Powell, John C. Williams, Michael S. Barr, Michelle W. Bowman, Lisa D. Cook, Austan D. Goolsbee, Patrick Harker, Philip N. Jefferson, Neel Kashkari, Lorie K. Logan, and Christopher J. Waller.","Voting for this action: Jerome H. Powell, John C. Williams, Michael S. Barr, Michelle W. Bowman, Lisa D. Cook, Austan D. Goolsbee, Patrick Harker, Philip N. Jefferson, Neel Kashkari, Lorie K. Logan, and Christopher J. Waller."
21,TF-IDF,1,1,1,Voting against this action: None.,Voting against this action: None.
21,BERT,0.27027027,0.27027027,0.909367144, Voting against this action: None. Voting against it was necessary to vote in favor of the bill . Voting against the bill is necessary to protect the nation's rights to the environment .,Voting against this action: None.
21,BART,0.169491525,0.169491525,0.876143277,Voting against this action: None. Voting for it: Yes. Voting against it for the first time: No. Voting for it for a second time: yes. Voted against it a third time: no. Voting on it a fourth time:yes. V voting on it the fifth time:Yes. V vote on it sixth time: Yes,Voting against this action: None.
22,TF-IDF,1,1,0.99999994,"To support the Committee's decision to raise the target range for the federal funds rate, the Board of Governors of the Federal Reserve System voted unanimously to raise the interest rate paid on reserve balances to 4.9 percent, effective March 23, 2023. The Board of Governors of the Federal Reserve System voted unanimously to approve a 1/4 percentage point increase in the primary credit rate to 5 percent, effective March 23, 2023.6","To support the Committee's decision to raise the target range for the federal funds rate, the Board of Governors of the Federal Reserve System voted unanimously to raise the interest rate paid on reserve balances to 4.9 percent, effective March 23, 2023. The Board of Governors of the Federal Reserve System voted unanimously to approve a 1/4 percentage point increase in the primary credit rate to 5 percent, effective March 23, 2023.6"
22,BERT,0.865671642,0.462686567,0.956470072," The Board of Governors of the Federal Reserve System voted unanimously to approve a 1/4 percentage point increase in the primary credit rate to 5 percent . To support the Committee's decision to raise the target range for the federal funds rate, the interest rate paid on reserve balances to 4.9 percent, effective March 23, 2023 .","To support the Committee's decision to raise the target range for the federal funds rate, the Board of Governors of the Federal Reserve System voted unanimously to raise the interest rate paid on reserve balances to 4.9 percent, effective March 23, 2023. The Board of Governors of the Federal Reserve System voted unanimously to approve a 1/4 percentage point increase in the primary credit rate to 5 percent, effective March 23, 2023.6"
22,BART,0.867647059,0.455882353,0.963197827,"The Board of Governors of the Federal Reserve System voted unanimously to approve a 1/4 percentage point increase in the primary credit rate to 5 percent, effective March 23, 2023. To support the Committee's decision to raise the target range for the federal funds rate, the interest rate paid on reserve balances was raised to 4.9 percent.","To support the Committee's decision to raise the target range for the federal funds rate, the Board of Governors of the Federal Reserve System voted unanimously to raise the interest rate paid on reserve balances to 4.9 percent, effective March 23, 2023. The Board of Governors of the Federal Reserve System voted unanimously to approve a 1/4 percentage point increase in the primary credit rate to 5 percent, effective March 23, 2023.6"
23,TF-IDF,1,1,1,"It was agreed that the next meeting of the Committee would be held on Tuesday–Wednesday, May 2–3, 2023. The meeting adjourned at 10:15 a.m. on March 22, 2023.","It was agreed that the next meeting of the Committee would be held on Tuesday–Wednesday, May 2–3, 2023. The meeting adjourned at 10:15 a.m. on March 22, 2023."
23,BERT,1,0.625,0.96955359," The meeting adjourned at 10:15 a.m. on March 22, 2023 . It was agreed that the next meeting of the Committee would be held on Tuesday–Wednesday, May 2–3,2023 .","It was agreed that the next meeting of the Committee would be held on Tuesday–Wednesday, May 2–3, 2023. The meeting adjourned at 10:15 a.m. on March 22, 2023."
23,BART,0.784810127,0.784810127,0.974685311,"It was agreed that the next meeting of the Committee would be held on Tuesday–Wednesday, May 2–3, 2023. The meeting adjourned at 10:15 a.m. on March 22, 20 23. The next meeting will take place on May 2-3 of the same year.","It was agreed that the next meeting of the Committee would be held on Tuesday–Wednesday, May 2–3, 2023. The meeting adjourned at 10:15 a.m. on March 22, 2023."
24,TF-IDF,1,1,1,"Notation Vote
By notation vote completed on February 21, 2023, the Committee unanimously approved the minutes of the Committee meeting held on January 31–February 1, 2023.","Notation Vote
By notation vote completed on February 21, 2023, the Committee unanimously approved the minutes of the Committee meeting held on January 31–February 1, 2023."
24,BERT,1,0.62962963,0.933882356," The Committee unanimously approved the minutes of the Committee meeting held on January 31–February 1, 2023 . Notation Vote: ""By notation vote completed on February 21-2023""","Notation Vote
By notation vote completed on February 21, 2023, the Committee unanimously approved the minutes of the Committee meeting held on January 31–February 1, 2023."
24,BART,0.701298701,0.623376623,0.941141188,"Notation Vote completed on February 21, 2023, the Committee unanimously approved the minutes of the Committee meeting held on January 31–February 1,2023. Notation Vote was to approve the minutes for the meeting held January 31 to February 1 of 2023. The minutes were approved unanimously by the Committee.","Notation Vote
By notation vote completed on February 21, 2023, the Committee unanimously approved the minutes of the Committee meeting held on January 31–February 1, 2023."
25,TF-IDF,1,1,1,"_______________________
Joshua Gallin
Secretary","_______________________
Joshua Gallin
Secretary"
25,BERT,0.148148148,0.148148148,0.791675568,Joshua Gallinowski is Secretary of State . He has been in office since 2004 . He is a former secretary of state and national security adviser .,"_______________________
Joshua Gallin
Secretary"
25,BART,0.107142857,0.107142857,0.787343383,"Joshua Gallin is the Secretary of State for the U.S. Department of State. Gallin was elected to the position in 2008. He is the son of former President George H.W. Bush and his wife, the late Barbara Bush. He was born in Washington, D.C. and grew up in Dorset, England.","_______________________
Joshua Gallin
Secretary"
26,TF-IDF,1,0.972972973,0.979448557,"The Federal Open Market Committee is referenced as the ""FOMC"" and the ""Committee"" in these minutes; the Board of Governors of the Federal Reserve System is referenced as the ""Board"" in these minutes. Return to text 1.","1. The Federal Open Market Committee is referenced as the ""FOMC"" and the ""Committee"" in these minutes; the Board of Governors of the Federal Reserve System is referenced as the ""Board"" in these minutes. Return to text"
26,BERT,0.865671642,0.835820896,0.955633998," The Federal Open Market Committee is referenced as the ""FOMC"" and the ""Committee"" in these minutes . The Board of Governors of the Federal Reserve System is referred to as ""Board""","1. The Federal Open Market Committee is referenced as the ""FOMC"" and the ""Committee"" in these minutes; the Board of Governors of the Federal Reserve System is referenced as the ""Board"" in these minutes. Return to text"
26,BART,0.70212766,0.70212766,0.938649237,"1. The Federal Open Market Committee is referenced as the ""FOMC"" and the ""Committee"" in these minutes. 2. The Board of Governors of the Federal Reserve System is referred to as ""the Board"" and ""the board"" in the minutes. 3. The FOMC and the Board are referred to by their initials, the FOC and the BOG respectively.","1. The Federal Open Market Committee is referenced as the ""FOMC"" and the ""Committee"" in these minutes; the Board of Governors of the Federal Reserve System is referenced as the ""Board"" in these minutes. Return to text"
27,TF-IDF,1,0.95,0.961831629,"Elected as an Alternate by the Federal Reserve Bank of New York, effective March 2, 2023. Return to text 2.","2. Elected as an Alternate by the Federal Reserve Bank of New York, effective March 2, 2023. Return to text"
27,BERT,0.68,0.68,0.952704251," 2. Elected as an Alternate by the Federal Reserve Bank of New York, effective March 2, 2023 . Elected by the Fed as an alternate by the New York City Fed .","2. Elected as an Alternate by the Federal Reserve Bank of New York, effective March 2, 2023. Return to text"
27,BART,0.603174603,0.603174603,0.897416592,"2. Elected as an Alternate by the Federal Reserve Bank of New York, effective March 2, 2023. Return to Mail Online home. Back to the page you came from. Follow us on Twitter @CNNOpinion and @CNBCOpinions. Follow CNN Living on Facebook and Twitter.","2. Elected as an Alternate by the Federal Reserve Bank of New York, effective March 2, 2023. Return to text"
28,TF-IDF,1,0.928571429,0.962676048,Attended through the discussion of the economic and financial situation. Return to text 3.,3. Attended through the discussion of the economic and financial situation. Return to text
28,BERT,0.666666667,0.666666667,0.921694398, Attended through the discussion of the economic and financial situation . Return to text of this week's visit to the U.S. House of Representatives .,3. Attended through the discussion of the economic and financial situation. Return to text
28,BART,0.388888889,0.388888889,0.909011722,3. Attended through the discussion of the economic and financial situation. Return to text Return to the page you came from to read this article. Back to the site you came to to read the article from the beginning of the discussion about the economy and the state of the country's finances. Click here for more information.,3. Attended through the discussion of the economic and financial situation. Return to text
29,TF-IDF,1,0.952380952,0.960216284,Attended from the discussion of the economic and financial situation through the end of Wednesday's session. Return to text 4.,4. Attended from the discussion of the economic and financial situation through the end of Wednesday's session. Return to text
29,BERT,0.857142857,0.80952381,0.944390535, Attended from the discussion of the economic and financial situation through the end of Wednesday's session. 4.4.4 . Attended .,4. Attended from the discussion of the economic and financial situation through the end of Wednesday's session. Return to text
29,BART,0.56,0.56,0.91413486,4. Attended from the discussion of the economic and financial situation through the end of Wednesday's session. 4. Return to text Return to the page you came from. Back to the home page for the latest from the House of Representatives. Back into the page to read the next day's Daily Discussion.,4. Attended from the discussion of the economic and financial situation through the end of Wednesday's session. Return to text
30,TF-IDF,1,0.941176471,0.959635019,Attended through the discussion of developments in financial markets and open market operations. Return to text 5.,5. Attended through the discussion of developments in financial markets and open market operations. Return to text
30,BERT,0.790697674,0.604651163,0.937525928, 5.5.5: We discuss developments in financial markets and open market operations . Attended through the discussion of developments in the financial markets . Return to text .,5. Attended through the discussion of developments in financial markets and open market operations. Return to text
30,BART,0.5,0.5,0.908653796,5.5. Attended through the discussion of developments in financial markets and open market operations. Return to text Return to the page you came from to read this article. Back to the home page. Share this article with your friends and family by sharing it with them on Facebook and Twitter.,5. Attended through the discussion of developments in financial markets and open market operations. Return to text
31,TF-IDF,0.984,0.688,0.975886643,"In taking this action, the Board approved requests to establish that rate submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Richmond, Atlanta, Kansas City, Dallas, and San Francisco. (Secretary's note: Subsequently, the Federal Reserve Banks of Cleveland, Chicago, St. Louis, and Minneapolis were informed of the Board's approval of their establishment of a primary credit rate of 5 percent, effective March 23, 2023.) The vote also encompassed approval by the Board of Governors of the establishment of a 5 percent primary credit rate by the remaining Federal Reserve Banks, effective on the later of March 23, 2023, or the date such Reserve Banks inform the Secretary of the Board of such a request.","6. In taking this action, the Board approved requests to establish that rate submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Richmond, Atlanta, Kansas City, Dallas, and San Francisco. The vote also encompassed approval by the Board of Governors of the establishment of a 5 percent primary credit rate by the remaining Federal Reserve Banks, effective on the later of March 23, 2023, or the date such Reserve Banks inform the Secretary of the Board of such a request. (Secretary's note: Subsequently, the Federal Reserve Banks of Cleveland, Chicago, St. Louis, and Minneapolis were informed of the Board's approval of their establishment of a primary credit rate of 5 percent, effective March 23, 2023.) Return to text"
31,BERT,0.619565217,0.380434783,0.921574473," The vote also encompassed approval by the Board of Governors of the establishment of a 5 percent primary credit rate by the remaining Federal Reserve Banks . Board approved requests to establish that rate submitted by the Boards of Directors of the Federal Reserve banks of Boston, New York, Philadelphia, Richmond, Atlanta, Kansas City, Dallas, and San Francisco .","6. In taking this action, the Board approved requests to establish that rate submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Richmond, Atlanta, Kansas City, Dallas, and San Francisco. The vote also encompassed approval by the Board of Governors of the establishment of a 5 percent primary credit rate by the remaining Federal Reserve Banks, effective on the later of March 23, 2023, or the date such Reserve Banks inform the Secretary of the Board of such a request. (Secretary's note: Subsequently, the Federal Reserve Banks of Cleveland, Chicago, St. Louis, and Minneapolis were informed of the Board's approval of their establishment of a primary credit rate of 5 percent, effective March 23, 2023.) Return to text"
31,BART,0.729064039,0.522167488,0.937432468,"The vote also encompassed approval by the Board of Governors of the establishment of a 5 percent primary credit rate by the remaining Federal Reserve Banks. The rate will be effective on the later of March 23, 2023, or the date such Reserve Banks inform the Secretary of the Board. The Board approved requests to establish that rate submitted by the Boards of Directors of the Federal Reserve banks of Boston, New York, Philadelphia and Richmond.","6. In taking this action, the Board approved requests to establish that rate submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Richmond, Atlanta, Kansas City, Dallas, and San Francisco. The vote also encompassed approval by the Board of Governors of the establishment of a 5 percent primary credit rate by the remaining Federal Reserve Banks, effective on the later of March 23, 2023, or the date such Reserve Banks inform the Secretary of the Board of such a request. (Secretary's note: Subsequently, the Federal Reserve Banks of Cleveland, Chicago, St. Louis, and Minneapolis were informed of the Board's approval of their establishment of a primary credit rate of 5 percent, effective March 23, 2023.) Return to text"
32,TF-IDF,1,0.705882353,0.961609364,Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Recent indicators point to modest growth in spending and production. Inflation remains elevated.,Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated.
32,BERT,0.903225806,0.903225806,0.970047116, Recent indicators point to modest growth in spending and production . Job gains have picked up in recent months and are running at a robust pace . Inflation remains elevated .,Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated.
32,BART,0.790697674,0.790697674,0.969979107,Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated. The U.S. economy is expected to grow at a rate of about 2.5 percent this year.,Recent indicators point to modest growth in spending and production. Job gains have picked up in recent months and are running at a robust pace; the unemployment rate has remained low. Inflation remains elevated.
